LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE,COUNTRY
AUT,CPI,TOT,AGRWTH,M,2010-01,1.219512,Austria
AUT,CPI,TOT,AGRWTH,M,2010-02,1.028037,Austria
AUT,CPI,TOT,AGRWTH,M,2010-03,1.958955,Austria
AUT,CPI,TOT,AGRWTH,M,2010-04,2.048417,Austria
AUT,CPI,TOT,AGRWTH,M,2010-05,1.85701,Austria
AUT,CPI,TOT,AGRWTH,M,2010-06,1.951673,Austria
AUT,CPI,TOT,AGRWTH,M,2010-07,1.863933,Austria
AUT,CPI,TOT,AGRWTH,M,2010-08,1.671309,Austria
AUT,CPI,TOT,AGRWTH,M,2010-09,1.855288,Austria
AUT,CPI,TOT,AGRWTH,M,2010-10,2.133581,Austria
AUT,CPI,TOT,AGRWTH,M,2010-11,1.851852,Austria
AUT,CPI,TOT,AGRWTH,M,2010-12,2.310536,Austria
AUT,CPI,TOT,AGRWTH,M,2011-01,2.502317,Austria
AUT,CPI,TOT,AGRWTH,M,2011-02,3.021771,Austria
AUT,CPI,TOT,AGRWTH,M,2011-03,3.09295,Austria
AUT,CPI,TOT,AGRWTH,M,2011-04,3.310327,Austria
AUT,CPI,TOT,AGRWTH,M,2011-05,3.315974,Austria
AUT,CPI,TOT,AGRWTH,M,2011-06,3.315974,Austria
AUT,CPI,TOT,AGRWTH,M,2011-07,3.4937,Austria
AUT,CPI,TOT,AGRWTH,M,2011-08,3.504679,Austria
AUT,CPI,TOT,AGRWTH,M,2011-09,3.620805,Austria
AUT,CPI,TOT,AGRWTH,M,2011-10,3.437919,Austria
AUT,CPI,TOT,AGRWTH,M,2011-11,3.631503,Austria
AUT,CPI,TOT,AGRWTH,M,2011-12,3.174041,Austria
AUT,CPI,TOT,AGRWTH,M,2012-01,2.772277,Austria
AUT,CPI,TOT,AGRWTH,M,2012-02,2.556539,Austria
AUT,CPI,TOT,AGRWTH,M,2012-03,2.429543,Austria
AUT,CPI,TOT,AGRWTH,M,2012-04,2.321083,Austria
AUT,CPI,TOT,AGRWTH,M,2012-05,2.125604,Austria
AUT,CPI,TOT,AGRWTH,M,2012-06,2.222222,Austria
AUT,CPI,TOT,AGRWTH,M,2012-07,2.129719,Austria
AUT,CPI,TOT,AGRWTH,M,2012-08,2.222222,Austria
AUT,CPI,TOT,AGRWTH,M,2012-09,2.694899,Austria
AUT,CPI,TOT,AGRWTH,M,2012-10,2.788461,Austria
AUT,CPI,TOT,AGRWTH,M,2012-11,2.785783,Austria
AUT,CPI,TOT,AGRWTH,M,2012-12,2.780441,Austria
AUT,CPI,TOT,AGRWTH,M,2013-01,2.697495,Austria
AUT,CPI,TOT,AGRWTH,M,2013-02,2.492809,Austria
AUT,CPI,TOT,AGRWTH,M,2013-03,2.27704,Austria
AUT,CPI,TOT,AGRWTH,M,2013-04,1.984877,Austria
AUT,CPI,TOT,AGRWTH,M,2013-05,2.270577,Austria
AUT,CPI,TOT,AGRWTH,M,2013-06,2.173913,Austria
AUT,CPI,TOT,AGRWTH,M,2013-07,1.990521,Austria
AUT,CPI,TOT,AGRWTH,M,2013-08,1.795841,Austria
AUT,CPI,TOT,AGRWTH,M,2013-09,1.686973,Austria
AUT,CPI,TOT,AGRWTH,M,2013-10,1.403181,Austria
AUT,CPI,TOT,AGRWTH,M,2013-11,1.401869,Austria
AUT,CPI,TOT,AGRWTH,M,2013-12,1.865672,Austria
AUT,CPI,TOT,AGRWTH,M,2014-01,1.594747,Austria
AUT,CPI,TOT,AGRWTH,M,2014-02,1.496726,Austria
AUT,CPI,TOT,AGRWTH,M,2014-03,1.669759,Austria
AUT,CPI,TOT,AGRWTH,M,2014-04,1.668211,Austria
AUT,CPI,TOT,AGRWTH,M,2014-05,1.757632,Austria
AUT,CPI,TOT,AGRWTH,M,2014-06,1.850139,Austria
AUT,CPI,TOT,AGRWTH,M,2014-07,1.765799,Austria
AUT,CPI,TOT,AGRWTH,M,2014-08,1.671309,Austria
AUT,CPI,TOT,AGRWTH,M,2014-09,1.56682,Austria
AUT,CPI,TOT,AGRWTH,M,2014-10,1.568266,Austria
AUT,CPI,TOT,AGRWTH,M,2014-11,1.658986,Austria
AUT,CPI,TOT,AGRWTH,M,2014-12,1.007326,Austria
AUT,CPI,TOT,AGRWTH,M,2015-01,0.7386888,Austria
AUT,CPI,TOT,AGRWTH,M,2015-02,0.8589376,Austria
AUT,CPI,TOT,AGRWTH,M,2015-03,0.9571964,Austria
AUT,CPI,TOT,AGRWTH,M,2015-04,1.066896,Austria
AUT,CPI,TOT,AGRWTH,M,2015-05,0.9924396,Austria
AUT,CPI,TOT,AGRWTH,M,2015-06,1.00121,Austria
AUT,CPI,TOT,AGRWTH,M,2015-07,1.150444,Austria
AUT,CPI,TOT,AGRWTH,M,2015-08,0.9483453,Austria
AUT,CPI,TOT,AGRWTH,M,2015-09,0.7087427,Austria
AUT,CPI,TOT,AGRWTH,M,2015-10,0.6997142,Austria
AUT,CPI,TOT,AGRWTH,M,2015-11,0.6174383,Austria
AUT,CPI,TOT,AGRWTH,M,2015-12,1.018704,Austria
AUT,CPI,TOT,AGRWTH,M,2016-01,1.217039,Austria
AUT,CPI,TOT,AGRWTH,M,2016-02,1.011122,Austria
AUT,CPI,TOT,AGRWTH,M,2016-03,0.7,Austria
AUT,CPI,TOT,AGRWTH,M,2016-04,0.499002,Austria
AUT,CPI,TOT,AGRWTH,M,2016-05,0.5976096,Austria
AUT,CPI,TOT,AGRWTH,M,2016-06,0.5970149,Austria
AUT,CPI,TOT,AGRWTH,M,2016-07,0.5994006,Austria
AUT,CPI,TOT,AGRWTH,M,2016-08,0.6006006,Austria
