LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE,COUNTRY
AUS,CPI,TOT,AGRWTH,A,1950,8.695652,Australia
AUS,CPI,TOT,AGRWTH,A,1951,19.42857,Australia
AUS,CPI,TOT,AGRWTH,A,1952,17.22488,Australia
AUS,CPI,TOT,AGRWTH,A,1953,4.489796,Australia
AUS,CPI,TOT,AGRWTH,A,1954,1.5625,Australia
AUS,CPI,TOT,AGRWTH,A,1955,1.538462,Australia
AUS,CPI,TOT,AGRWTH,A,1956,5.681818,Australia
AUS,CPI,TOT,AGRWTH,A,1957,2.867383,Australia
AUS,CPI,TOT,AGRWTH,A,1958,0.6968641,Australia
AUS,CPI,TOT,AGRWTH,A,1959,2.076125,Australia
AUS,CPI,TOT,AGRWTH,A,1960,3.728814,Australia
AUS,CPI,TOT,AGRWTH,A,1961,2.287582,Australia
AUS,CPI,TOT,AGRWTH,A,1962,-0.3194888,Australia
AUS,CPI,TOT,AGRWTH,A,1963,0.6410257,Australia
AUS,CPI,TOT,AGRWTH,A,1964,2.866242,Australia
AUS,CPI,TOT,AGRWTH,A,1965,3.405573,Australia
AUS,CPI,TOT,AGRWTH,A,1966,3.293413,Australia
AUS,CPI,TOT,AGRWTH,A,1967,3.478261,Australia
AUS,CPI,TOT,AGRWTH,A,1968,2.521008,Australia
AUS,CPI,TOT,AGRWTH,A,1969,3.278688,Australia
AUS,CPI,TOT,AGRWTH,A,1970,3.439153,Australia
AUS,CPI,TOT,AGRWTH,A,1971,6.138107,Australia
AUS,CPI,TOT,AGRWTH,A,1972,6.024096,Australia
AUS,CPI,TOT,AGRWTH,A,1973,9.090909,Australia
AUS,CPI,TOT,AGRWTH,A,1974,15.41667,Australia
AUS,CPI,TOT,AGRWTH,A,1975,15.16245,Australia
AUS,CPI,TOT,AGRWTH,A,1976,13.32288,Australia
AUS,CPI,TOT,AGRWTH,A,1977,12.30982,Australia
AUS,CPI,TOT,AGRWTH,A,1978,8.004926,Australia
AUS,CPI,TOT,AGRWTH,A,1979,9.122006,Australia
AUS,CPI,TOT,AGRWTH,A,1980,10.13584,Australia
AUS,CPI,TOT,AGRWTH,A,1981,9.487666,Australia
AUS,CPI,TOT,AGRWTH,A,1982,11.35182,Australia
AUS,CPI,TOT,AGRWTH,A,1983,10.03891,Australia
AUS,CPI,TOT,AGRWTH,A,1984,3.960396,Australia
AUS,CPI,TOT,AGRWTH,A,1985,6.734694,Australia
AUS,CPI,TOT,AGRWTH,A,1986,9.05035,Australia
AUS,CPI,TOT,AGRWTH,A,1987,8.533022,Australia
AUS,CPI,TOT,AGRWTH,A,1988,7.21594,Australia
AUS,CPI,TOT,AGRWTH,A,1989,7.533903,Australia
AUS,CPI,TOT,AGRWTH,A,1990,7.333022,Australia
AUS,CPI,TOT,AGRWTH,A,1991,3.176675,Australia
AUS,CPI,TOT,AGRWTH,A,1992,1.012231,Australia
AUS,CPI,TOT,AGRWTH,A,1993,1.753653,Australia
AUS,CPI,TOT,AGRWTH,A,1994,1.969635,Australia
AUS,CPI,TOT,AGRWTH,A,1995,4.627767,Australia
AUS,CPI,TOT,AGRWTH,A,1996,2.615385,Australia
AUS,CPI,TOT,AGRWTH,A,1997,0.2248875,Australia
AUS,CPI,TOT,AGRWTH,A,1998,0.8601346,Australia
AUS,CPI,TOT,AGRWTH,A,1999,1.483129,Australia
AUS,CPI,TOT,AGRWTH,A,2000,4.457435,Australia
AUS,CPI,TOT,AGRWTH,A,2001,4.407135,Australia
AUS,CPI,TOT,AGRWTH,A,2002,2.981575,Australia
